Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Time
2020-01-05 14:38:00,Hyderabad,IDENTITY THEFT,74,F,14:38:00
2020-01-05 06:41:00,Hyderabad,DRUG OFFENSE,13,F,06:41:00
2020-01-05 14:02:00,Ahmedabad,PUBLIC INTOXICATION,50,F,14:02:00
2020-01-05 22:34:00,Mumbai,EXTORTION,69,F,22:34:00
2020-01-05 17:43:00,Kanpur,ASSAULT,34,F,17:43:00
2020-01-05 14:13:00,Mumbai,VEHICLE - STOLEN,38,F,14:13:00
2020-01-05 19:30:00,Lucknow,FRAUD,44,F,19:30:00
2020-01-05 10:05:00,Hyderabad,VEHICLE - STOLEN,69,F,10:05:00
2020-01-05 17:21:00,Lucknow,DOMESTIC VIOLENCE,12,F,17:21:00
2020-01-06 09:35:00,Bangalore,ARSON,21,F,09:35:00
2020-01-06 00:07:00,Chennai,PUBLIC INTOXICATION,55,F,00:07:00
2020-01-05 23:32:00,Delhi,ARSON,15,F,23:32:00
2020-01-05 23:24:00,Visakhapatnam,ILLEGAL POSSESSION,58,F,23:24:00
2020-01-06 07:02:00,Delhi,COUNTERFEITING,37,F,07:02:00
2020-01-06 14:55:00,Bangalore,HOMICIDE,49,F,14:55:00
2020-01-06 06:42:00,Surat,EXTORTION,30,M,06:42:00
2020-01-06 08:02:00,Pune,FIREARM OFFENSE,50,F,08:02:00
2020-01-06 06:26:00,Mumbai,BURGLARY,64,F,06:26:00
2020-01-06 10:15:00,Lucknow,VANDALISM,43,M,10:15:00
2020-01-06 02:16:00,Delhi,DRUG OFFENSE,32,M,02:16:00
2020-01-05 23:48:00,Mumbai,ILLEGAL POSSESSION,14,M,23:48:00
2020-01-06 07:04:00,Pune,TRAFFIC VIOLATION,70,M,07:04:00
2020-01-06 12:16:00,Ahmedabad,VEHICLE - STOLEN,78,F,12:16:00
2020-01-06 22:59:00,Delhi,KIDNAPPING,22,F,22:59:00
2020-01-07 00:00:00,Bhopal,VANDALISM,60,F,00:00:00
2020-01-06 06:56:00,Ludhiana,SEXUAL ASSAULT,44,F,06:56:00
2020-01-06 19:19:00,Pune,FRAUD,30,M,19:19:00
2020-01-06 05:15:00,Pune,ASSAULT,62,F,05:15:00
2020-01-07 00:44:00,Surat,FIREARM OFFENSE,42,F,00:44:00
2020-01-07 02:17:00,Ghaziabad,IDENTITY THEFT,73,F,02:17:00
2020-01-06 12:39:00,Kanpur,SHOPLIFTING,25,M,12:39:00
2020-01-06 14:55:00,Ghaziabad,ROBBERY,33,M,14:55:00
2020-01-06 19:26:00,Agra,ARSON,13,F,19:26:00
2020-01-07 06:55:00,Lucknow,IDENTITY THEFT,39,F,06:55:00
2020-01-06 19:17:00,Bangalore,HOMICIDE,18,M,19:17:00
2020-01-07 00:56:00,Lucknow,ILLEGAL POSSESSION,75,F,00:56:00
2020-01-07 07:26:00,Delhi,VANDALISM,50,F,07:26:00
2020-01-07 02:16:00,Delhi,FRAUD,71,F,02:16:00
2020-01-07 01:01:00,Ahmedabad,PUBLIC INTOXICATION,38,F,01:01:00
2020-01-06 20:11:00,Mumbai,ASSAULT,12,M,20:11:00
2020-01-07 07:11:00,Kanpur,KIDNAPPING,57,F,07:11:00
2020-01-07 01:17:00,Jaipur,CYBERCRIME,47,F,01:17:00
2020-01-07 14:13:00,Delhi,DOMESTIC VIOLENCE,73,F,14:13:00
2020-01-07 06:34:00,Mumbai,FIREARM OFFENSE,41,F,06:34:00
2020-01-07 12:37:00,Mumbai,ILLEGAL POSSESSION,45,F,12:37:00
2020-01-07 16:49:00,Varanasi,ASSAULT,79,F,16:49:00
2020-01-07 03:38:00,Ludhiana,IDENTITY THEFT,17,M,03:38:00
2020-01-07 16:44:00,Kolkata,PUBLIC INTOXICATION,15,F,16:44:00
2020-01-07 18:49:00,Meerut,CYBERCRIME,44,F,18:49:00
2020-01-07 22:27:00,Bangalore,COUNTERFEITING,28,F,22:27:00
2020-01-08 01:09:00,Agra,IDENTITY THEFT,41,F,01:09:00
2020-01-07 11:19:00,Patna,SHOPLIFTING,46,F,11:19:00
2020-01-07 13:59:00,Bhopal,DRUG OFFENSE,35,F,13:59:00
2020-01-07 16:17:00,Bangalore,ILLEGAL POSSESSION,67,M,16:17:00
2020-01-07 17:21:00,Delhi,IDENTITY THEFT,23,F,17:21:00
2020-01-07 19:49:00,Chennai,KIDNAPPING,39,F,19:49:00
2020-01-07 19:37:00,Bangalore,DOMESTIC VIOLENCE,48,F,19:37:00
2020-01-07 12:05:00,Pune,DOMESTIC VIOLENCE,71,F,12:05:00
2020-01-07 13:48:00,Hyderabad,COUNTERFEITING,32,F,13:48:00
2020-01-08 03:32:00,Ahmedabad,HOMICIDE,18,F,03:32:00
2020-01-08 06:49:00,Delhi,VEHICLE - STOLEN,38,F,06:49:00
2020-01-08 14:26:00,Kolkata,ASSAULT,27,F,14:26:00
2020-01-08 09:21:00,Meerut,COUNTERFEITING,30,F,09:21:00
2020-01-07 17:22:00,Surat,CYBERCRIME,17,F,17:22:00
2020-01-08 09:50:00,Pune,SHOPLIFTING,39,F,09:50:00
2020-01-08 02:04:00,Pune,ARSON,66,F,02:04:00
2020-01-08 06:07:00,Ghaziabad,SEXUAL ASSAULT,11,F,06:07:00
2020-01-08 00:42:00,Ahmedabad,VANDALISM,54,M,00:42:00
2020-01-08 05:25:00,Delhi,VANDALISM,79,M,05:25:00
2020-01-08 02:01:00,Delhi,FRAUD,12,F,02:01:00
2020-01-08 00:14:00,Lucknow,DRUG OFFENSE,19,F,00:14:00
2020-01-08 05:22:00,Kalyan,TRAFFIC VIOLATION,21,F,05:22:00
2020-01-08 18:43:00,Agra,COUNTERFEITING,24,M,18:43:00
2020-01-09 01:57:00,Jaipur,TRAFFIC VIOLATION,58,M,01:57:00
2020-01-08 13:20:00,Hyderabad,SEXUAL ASSAULT,51,F,13:20:00
2020-01-09 01:34:00,Indore,DRUG OFFENSE,40,F,01:34:00
2020-01-08 10:27:00,Surat,ROBBERY,64,M,10:27:00
2020-01-08 22:06:00,Lucknow,BURGLARY,66,F,22:06:00
2020-01-09 02:25:00,Chennai,FIREARM OFFENSE,28,F,02:25:00
2020-01-08 16:59:00,Mumbai,ILLEGAL POSSESSION,54,F,16:59:00
2020-01-09 07:31:00,Agra,FRAUD,42,F,07:31:00
2020-01-09 02:31:00,Pune,DOMESTIC VIOLENCE,72,M,02:31:00
2020-01-09 07:34:00,Bangalore,TRAFFIC VIOLATION,23,F,07:34:00
2020-01-09 12:16:00,Mumbai,CYBERCRIME,53,F,12:16:00
2020-01-08 17:18:00,Ahmedabad,SEXUAL ASSAULT,28,F,17:18:00
2020-01-08 23:28:00,Hyderabad,SEXUAL ASSAULT,27,F,23:28:00
2020-01-08 17:27:00,Mumbai,FRAUD,67,F,17:27:00
2020-01-09 08:32:00,Bangalore,FRAUD,70,F,08:32:00
2020-01-09 10:28:00,Delhi,VANDALISM,75,F,10:28:00
2020-01-09 18:53:00,Nagpur,IDENTITY THEFT,66,F,18:53:00
2020-01-09 03:24:00,Hyderabad,EXTORTION,24,F,03:24:00
2020-01-08 21:24:00,Chennai,CYBERCRIME,44,M,21:24:00
2020-01-09 15:53:00,Chennai,KIDNAPPING,63,F,15:53:00
2020-01-09 20:39:00,Delhi,IDENTITY THEFT,18,M,20:39:00
2020-01-09 05:28:00,Ghaziabad,PUBLIC INTOXICATION,19,F,05:28:00
2020-01-09 04:00:00,Jaipur,DOMESTIC VIOLENCE,49,M,04:00:00
2020-01-09 08:16:00,Delhi,ILLEGAL POSSESSION,33,F,08:16:00
2020-01-10 00:18:00,Lucknow,DOMESTIC VIOLENCE,56,M,00:18:00
2020-01-09 15:55:00,Ahmedabad,PUBLIC INTOXICATION,32,M,15:55:00
2020-01-09 10:20:00,Hyderabad,EXTORTION,25,F,10:20:00
2020-01-09 21:01:00,Delhi,ARSON,62,F,21:01:00
2020-01-10 02:06:00,Nashik,HOMICIDE,56,F,02:06:00
2020-01-10 04:27:00,Srinagar,COUNTERFEITING,27,F,04:27:00
2020-01-09 18:52:00,Nagpur,FRAUD,63,M,18:52:00
2020-01-09 12:58:00,Mumbai,DRUG OFFENSE,34,F,12:58:00
2020-01-09 13:00:00,Lucknow,KIDNAPPING,16,F,13:00:00
2020-01-10 02:34:00,Hyderabad,SHOPLIFTING,59,F,02:34:00
2020-01-09 23:51:00,Thane,VEHICLE - STOLEN,44,F,23:51:00
2020-01-10 12:37:00,Bangalore,COUNTERFEITING,21,F,12:37:00
2020-01-09 20:15:00,Patna,ASSAULT,59,M,20:15:00
2020-01-09 17:29:00,Hyderabad,EXTORTION,41,F,17:29:00
2020-01-10 06:07:00,Kolkata,PUBLIC INTOXICATION,43,F,06:07:00
2020-01-09 20:05:00,Bhopal,COUNTERFEITING,15,M,20:05:00
2020-01-10 14:15:00,Delhi,FIREARM OFFENSE,34,M,14:15:00
2020-01-10 07:00:00,Kolkata,IDENTITY THEFT,19,F,07:00:00
2020-01-10 02:45:00,Bangalore,VEHICLE - STOLEN,73,M,02:45:00
2020-01-10 00:56:00,Delhi,SEXUAL ASSAULT,44,M,00:56:00
2020-01-10 09:23:00,Ahmedabad,SHOPLIFTING,14,F,09:23:00
2020-01-10 05:32:00,Kolkata,COUNTERFEITING,73,M,05:32:00
2020-01-10 23:36:00,Surat,FRAUD,49,F,23:36:00
2020-01-10 08:44:00,Pune,TRAFFIC VIOLATION,61,M,08:44:00
2020-01-10 17:27:00,Nagpur,BURGLARY,68,F,17:27:00
2020-01-11 03:16:00,Kolkata,VEHICLE - STOLEN,24,F,03:16:00
2020-01-10 05:29:00,Ludhiana,KIDNAPPING,69,F,05:29:00
2020-01-10 19:37:00,Bangalore,FRAUD,55,F,19:37:00
2020-01-10 23:31:00,Chennai,ROBBERY,49,F,23:31:00
2020-01-11 00:10:00,Bangalore,CYBERCRIME,40,F,00:10:00
2020-01-10 15:46:00,Surat,HOMICIDE,51,F,15:46:00
2020-01-10 23:35:00,Mumbai,VANDALISM,35,F,23:35:00
2020-01-11 01:56:00,Pune,COUNTERFEITING,65,F,01:56:00
2020-01-11 04:03:00,Jaipur,VEHICLE - STOLEN,61,F,04:03:00
2020-01-11 08:27:00,Ahmedabad,VANDALISM,35,M,08:27:00
2020-01-10 22:47:00,Pune,IDENTITY THEFT,45,M,22:47:00
2020-01-11 04:38:00,Patna,ARSON,32,F,04:38:00
2020-01-10 19:09:00,Mumbai,HOMICIDE,11,F,19:09:00
2020-01-11 03:46:00,Kolkata,ASSAULT,40,M,03:46:00
2020-01-10 20:30:00,Mumbai,TRAFFIC VIOLATION,23,F,20:30:00
2020-01-10 22:34:00,Ludhiana,ARSON,14,M,22:34:00
2020-01-11 06:53:00,Visakhapatnam,CYBERCRIME,23,M,06:53:00
2020-01-11 04:23:00,Chennai,CYBERCRIME,35,M,04:23:00
2020-01-11 10:13:00,Delhi,FIREARM OFFENSE,65,M,10:13:00
2020-01-11 11:41:00,Hyderabad,FIREARM OFFENSE,51,F,11:41:00
2020-01-11 00:34:00,Mumbai,COUNTERFEITING,35,F,00:34:00
2020-01-11 03:03:00,Bangalore,VANDALISM,59,F,03:03:00
2020-01-11 11:51:00,Pune,FRAUD,48,F,11:51:00
2020-01-11 10:11:00,Kalyan,SEXUAL ASSAULT,18,F,10:11:00
2020-01-11 14:49:00,Nagpur,ROBBERY,58,F,14:49:00
2020-01-11 17:14:00,Kolkata,ILLEGAL POSSESSION,65,F,17:14:00
2020-01-11 08:58:00,Nagpur,EXTORTION,38,F,08:58:00
2020-01-11 20:32:00,Ahmedabad,IDENTITY THEFT,77,F,20:32:00
2020-01-12 07:14:00,Thane,DOMESTIC VIOLENCE,70,F,07:14:00
2020-01-11 21:57:00,Nagpur,EXTORTION,11,F,21:57:00
2020-01-12 02:39:00,Delhi,FIREARM OFFENSE,45,F,02:39:00
2020-01-11 15:11:00,Thane,SHOPLIFTING,71,F,15:11:00
2020-01-12 01:17:00,Hyderabad,TRAFFIC VIOLATION,11,M,01:17:00
2020-01-11 15:04:00,Nashik,ILLEGAL POSSESSION,39,M,15:04:00
2020-01-11 21:38:00,Meerut,FIREARM OFFENSE,68,M,21:38:00
2020-01-12 06:45:00,Kolkata,PUBLIC INTOXICATION,76,M,06:45:00
2020-01-12 00:13:00,Hyderabad,EXTORTION,47,M,00:13:00
2020-01-11 17:21:00,Ahmedabad,IDENTITY THEFT,22,F,17:21:00
2020-01-11 22:11:00,Mumbai,EXTORTION,33,M,22:11:00
2020-01-12 08:18:00,Indore,KIDNAPPING,55,F,08:18:00
2020-01-12 01:13:00,Chennai,BURGLARY,11,F,01:13:00
2020-01-12 07:49:00,Ghaziabad,COUNTERFEITING,49,M,07:49:00
2020-01-12 08:50:00,Kolkata,IDENTITY THEFT,56,F,08:50:00
2020-01-12 22:04:00,Kanpur,SEXUAL ASSAULT,69,F,22:04:00
2020-01-12 19:08:00,Visakhapatnam,COUNTERFEITING,79,F,19:08:00
2020-01-12 03:39:00,Chennai,IDENTITY THEFT,17,F,03:39:00
2020-01-12 08:13:00,Nagpur,ILLEGAL POSSESSION,71,F,08:13:00
2020-01-12 23:31:00,Kanpur,KIDNAPPING,16,F,23:31:00
2020-01-12 08:35:00,Surat,ROBBERY,71,M,08:35:00
2020-01-12 07:42:00,Srinagar,SHOPLIFTING,50,M,07:42:00
2020-01-12 08:31:00,Indore,DRUG OFFENSE,38,M,08:31:00
2020-01-12 23:49:00,Hyderabad,PUBLIC INTOXICATION,39,F,23:49:00
2020-01-12 11:51:00,Delhi,IDENTITY THEFT,36,M,11:51:00
2020-01-12 14:37:00,Bangalore,VEHICLE - STOLEN,56,F,14:37:00
2020-01-13 04:01:00,Bhopal,TRAFFIC VIOLATION,78,M,04:01:00
2020-01-13 06:07:00,Ahmedabad,ASSAULT,21,M,06:07:00
2020-01-13 10:15:00,Indore,ASSAULT,10,F,10:15:00
2020-01-12 13:29:00,Bhopal,TRAFFIC VIOLATION,44,F,13:29:00
2020-01-13 04:56:00,Chennai,TRAFFIC VIOLATION,58,M,04:56:00
2020-01-13 04:19:00,Ludhiana,KIDNAPPING,45,F,04:19:00
2020-01-13 10:14:00,Srinagar,FIREARM OFFENSE,12,F,10:14:00
2020-01-13 00:49:00,Ludhiana,FRAUD,62,F,00:49:00
2020-01-13 01:20:00,Ludhiana,BURGLARY,48,F,01:20:00
2020-01-13 03:34:00,Mumbai,ARSON,55,F,03:34:00
2020-01-13 15:38:00,Indore,ASSAULT,70,F,15:38:00
2020-01-13 05:53:00,Mumbai,SHOPLIFTING,38,M,05:53:00
2020-01-13 16:05:00,Pune,VEHICLE - STOLEN,12,F,16:05:00
2020-01-13 01:39:00,Bangalore,IDENTITY THEFT,30,F,01:39:00
2020-01-13 15:29:00,Chennai,ILLEGAL POSSESSION,25,F,15:29:00
2020-01-13 10:14:00,Ahmedabad,EXTORTION,22,F,10:14:00
2020-01-13 08:25:00,Chennai,SHOPLIFTING,69,F,08:25:00
2020-01-13 20:23:00,Chennai,BURGLARY,31,F,20:23:00
2020-01-13 11:50:00,Thane,BURGLARY,59,M,11:50:00
2020-01-13 10:55:00,Chennai,ASSAULT,51,F,10:55:00
2020-01-13 11:43:00,Bangalore,DOMESTIC VIOLENCE,48,M,11:43:00
2020-01-13 13:14:00,Kolkata,VANDALISM,62,M,13:14:00
2020-01-13 16:27:00,Delhi,TRAFFIC VIOLATION,50,M,16:27:00
2020-01-14 04:47:00,Kolkata,IDENTITY THEFT,32,M,04:47:00
2020-01-14 04:55:00,Srinagar,SEXUAL ASSAULT,40,F,04:55:00
2020-01-14 04:57:00,Nagpur,ROBBERY,55,F,04:57:00
2020-01-14 08:43:00,Jaipur,IDENTITY THEFT,64,M,08:43:00
2020-01-14 00:49:00,Chennai,ARSON,59,F,00:49:00
2020-01-13 21:22:00,Kanpur,DOMESTIC VIOLENCE,12,F,21:22:00
2020-01-13 20:23:00,Kalyan,PUBLIC INTOXICATION,30,F,20:23:00
2020-01-13 16:47:00,Pune,TRAFFIC VIOLATION,13,F,16:47:00
2020-01-14 07:31:00,Faridabad,FIREARM OFFENSE,27,M,07:31:00
2020-01-13 22:40:00,Kanpur,TRAFFIC VIOLATION,50,F,22:40:00
2020-01-14 07:24:00,Indore,COUNTERFEITING,66,F,07:24:00
2020-01-14 17:26:00,Bangalore,SEXUAL ASSAULT,26,M,17:26:00
2020-01-14 16:26:00,Ahmedabad,DOMESTIC VIOLENCE,35,F,16:26:00
2020-01-14 16:21:00,Delhi,DRUG OFFENSE,29,F,16:21:00
2020-01-14 12:22:00,Kolkata,ARSON,32,F,12:22:00
2020-01-14 16:05:00,Bangalore,DRUG OFFENSE,37,F,16:05:00
2020-01-14 04:12:00,Bangalore,ASSAULT,18,F,04:12:00
2020-01-14 17:13:00,Kanpur,BURGLARY,60,M,17:13:00
2020-01-14 19:05:00,Delhi,BURGLARY,42,M,19:05:00
2020-01-14 12:47:00,Mumbai,DOMESTIC VIOLENCE,42,F,12:47:00
2020-01-14 19:04:00,Nashik,COUNTERFEITING,67,M,19:04:00
2020-01-14 13:56:00,Lucknow,VANDALISM,79,F,13:56:00
2020-01-15 02:59:00,Bangalore,ARSON,41,M,02:59:00
2020-01-14 17:56:00,Pune,FRAUD,45,M,17:56:00
2020-01-14 15:37:00,Kolkata,TRAFFIC VIOLATION,62,M,15:37:00
2020-01-14 21:12:00,Bangalore,ARSON,64,F,21:12:00
2020-01-14 18:59:00,Mumbai,FRAUD,67,M,18:59:00
2020-01-14 20:43:00,Bangalore,SHOPLIFTING,67,F,20:43:00
2020-01-15 05:46:00,Visakhapatnam,VANDALISM,45,F,05:46:00
2020-01-15 12:44:00,Patna,ROBBERY,53,F,12:44:00
2020-01-15 13:02:00,Bangalore,BURGLARY,68,M,13:02:00
2020-01-15 02:16:00,Mumbai,ARSON,70,M,02:16:00
2020-01-15 16:31:00,Surat,DRUG OFFENSE,42,F,16:31:00
2020-01-15 13:53:00,Delhi,ARSON,15,F,13:53:00
2020-01-14 21:22:00,Delhi,ILLEGAL POSSESSION,57,M,21:22:00
2020-01-15 07:04:00,Mumbai,COUNTERFEITING,70,M,07:04:00
2020-01-15 13:22:00,Hyderabad,VANDALISM,42,M,13:22:00
2020-01-15 21:18:00,Bangalore,SHOPLIFTING,77,F,21:18:00
2020-01-15 20:02:00,Ahmedabad,SHOPLIFTING,40,F,20:02:00
2020-01-15 15:06:00,Delhi,COUNTERFEITING,53,F,15:06:00
2020-01-15 06:07:00,Faridabad,SEXUAL ASSAULT,21,M,06:07:00
2020-01-15 10:01:00,Kanpur,DOMESTIC VIOLENCE,64,F,10:01:00
2020-01-15 17:40:00,Ahmedabad,PUBLIC INTOXICATION,36,F,17:40:00
2020-01-15 16:24:00,Pune,ROBBERY,14,F,16:24:00
2020-01-16 04:41:00,Delhi,KIDNAPPING,30,F,04:41:00
2020-01-15 21:41:00,Pune,CYBERCRIME,46,M,21:41:00
2020-01-15 07:58:00,Ghaziabad,ASSAULT,48,F,07:58:00
2020-01-15 10:55:00,Meerut,SEXUAL ASSAULT,60,F,10:55:00
2020-01-16 04:37:00,Delhi,BURGLARY,11,M,04:37:00
2020-01-16 09:08:00,Mumbai,DOMESTIC VIOLENCE,76,F,09:08:00
2020-01-16 05:33:00,Delhi,ILLEGAL POSSESSION,55,M,05:33:00
2020-01-16 09:42:00,Lucknow,TRAFFIC VIOLATION,17,F,09:42:00
2020-01-15 18:19:00,Bangalore,PUBLIC INTOXICATION,50,F,18:19:00
2020-01-16 05:48:00,Pune,VEHICLE - STOLEN,73,F,05:48:00
2020-01-16 01:58:00,Mumbai,CYBERCRIME,44,F,01:58:00
2020-01-16 09:30:00,Delhi,ILLEGAL POSSESSION,64,F,09:30:00
2020-01-16 05:24:00,Vasai,EXTORTION,78,F,05:24:00
2020-01-16 00:09:00,Nashik,HOMICIDE,54,F,00:09:00
2020-01-15 21:21:00,Pune,BURGLARY,25,F,21:21:00
2020-01-16 16:30:00,Delhi,CYBERCRIME,44,M,16:30:00
2020-01-16 09:44:00,Lucknow,DRUG OFFENSE,12,F,09:44:00
2020-01-16 18:11:00,Lucknow,ASSAULT,31,F,18:11:00
